id,station_id,display_name,ocpp_identity,status,last_heartbeat,firmware_version,firmware_url,model,serial_number,input_voltage_range,output_voltage_range,max_current_a,efficiency_pct,ip_rating,is_active,sort_order,created_at,updated_at,deleted_at,created_by_id,updated_by_id
01f3a1ad-d5f9-482b-85aa-2c2807e90815,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-09,PANDA-MEKONG-09,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-09,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,9,2026-04-16 21:44:42.889+00,2026-04-18 21:33:26.836+00,,,
04982c74-e393-4c6c-862e-4c4864fb1f56,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-08,PANDA-PHONSAY-08,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-08,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,8,2026-04-16 21:44:42.929+00,2026-04-18 21:33:26.876+00,,,
09e232c8-3ba9-47d7-b844-5b0b883e63c7,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-02,PANDA-PHONSAY-02,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-02,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,2,2026-04-16 21:44:42.92+00,2026-04-18 21:33:26.867+00,,,
100b7cf5-55b5-49a5-bc9a-efe0b3cc25a8,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-10,PANDA-DONGNASOK-10,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-10,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,10,2026-04-16 21:44:42.912+00,2026-04-18 21:33:26.859+00,,,
220a42f1-54a3-4a46-93a4-98a01d54c3f0,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-13,PANDA-MEKONG-13,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-13,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,13,2026-04-16 21:44:42.895+00,2026-04-18 21:33:26.842+00,,,
2389ea29-6e2a-440f-9ae5-6d4080cfa5f9,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-07,PANDA-DONGNASOK-07,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-07,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,7,2026-04-16 21:44:42.907+00,2026-04-18 21:33:26.855+00,,,
243e0c1e-fbac-4700-92d7-d91c3550c837,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-03,PANDA-DONGNASOK-03,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-03,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,3,2026-04-16 21:44:42.901+00,2026-04-18 21:33:26.847+00,,,
276f79f9-7748-49b7-acc6-ab5a866f8d70,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-03,PANDA-BUENGTHATLUANG-03,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-03,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,3,2026-04-16 21:44:42.942+00,2026-04-18 21:33:26.888+00,,,
2e31b158-e036-4bb0-9062-6d058feac5c0,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-04,PANDA-DONGNASOK-04,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-04,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,4,2026-04-16 21:44:42.903+00,2026-04-18 21:33:26.849+00,,,
2e9d9cc8-fc2e-420e-82f4-f0594cf999ec,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-04,PANDA-BUENGTHATLUANG-04,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-04,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,4,2026-04-16 21:44:42.944+00,2026-04-18 21:33:26.89+00,,,
37829b2f-1109-4cb0-a01a-8be4dbe94fa9,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-04,PANDA-MEKONG-04,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-04,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,4,2026-04-16 21:44:42.88+00,2026-04-18 21:33:26.828+00,,,
4b70b835-91ed-485e-b662-67553890f0b7,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-11,PANDA-PHONSAY-11,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-11,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,11,2026-04-16 21:44:42.934+00,2026-04-18 21:33:26.881+00,,,
526239c2-9903-48e0-b762-5c542d204008,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-12,PANDA-MEKONG-12,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-12,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,12,2026-04-16 21:44:42.893+00,2026-04-18 21:33:26.84+00,,,
55b1fee5-52b3-4888-86eb-da20816fa76a,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-03,PANDA-PHONSAY-03,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-03,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,3,2026-04-16 21:44:42.921+00,2026-04-18 21:33:26.869+00,,,
59425ed4-1c13-4f3a-a59d-dca67d4b24ef,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-11,PANDA-MEKONG-11,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-11,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,11,2026-04-16 21:44:42.892+00,2026-04-18 21:33:26.839+00,,,
5a3ca604-b504-4786-ad37-72145eab6309,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-06,PANDA-PHONSAY-06,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-06,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,6,2026-04-16 21:44:42.926+00,2026-04-18 21:33:26.873+00,,,
5e44bb67-13a2-40f6-810d-92aae33d56c8,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-05,PANDA-MEKONG-05,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-05,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,5,2026-04-16 21:44:42.882+00,2026-04-18 21:33:26.83+00,,,
636b5521-75c8-4eba-a99b-866d3cae750b,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-01,PANDA-DONGNASOK-01,ONLINE,2026-04-18 02:24:38.672+00,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-01,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,1,2026-04-16 21:44:42.898+00,2026-04-18 21:33:26.844+00,,,
68a453f8-f408-4b09-908a-2e4482c4d628,ad3242b4-1668-4da9-a58d-2da8eba2692d,Panda-04,PANDA-HONGKAIKEO-04,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-HK-04,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,4,2026-04-16 21:44:42.96+00,2026-04-18 21:33:26.907+00,,,
6cc70218-5a02-4924-9a22-2c69598ba594,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-07,PANDA-PHONSAY-07,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-07,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,7,2026-04-16 21:44:42.928+00,2026-04-18 21:33:26.875+00,,,
6f3a7230-5848-4def-88e9-d5d93439138a,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-05,PANDA-DONGNASOK-05,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-05,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,5,2026-04-16 21:44:42.904+00,2026-04-18 21:33:26.851+00,,,
73fc7193-1e9f-42f9-af77-1b3addc5e4ae,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-08,PANDA-MEKONG-08,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-08,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,8,2026-04-16 21:44:42.887+00,2026-04-18 21:33:26.834+00,,,
7850fe4c-cfc7-4baf-b94b-065b169eb1a8,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-06,PANDA-BUENGTHATLUANG-06,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-06,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,6,2026-04-16 21:44:42.947+00,2026-04-18 21:33:26.892+00,,,
79d82c60-3f09-4e02-a356-a9a36ea5e1fb,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-02,PANDA-MEKONG-02,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-02,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,2,2026-04-16 21:44:42.875+00,2026-04-18 21:33:26.825+00,,,
829810c7-89cc-4791-8507-ae25a7824d3a,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-06,PANDA-DONGNASOK-06,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-06,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,6,2026-04-16 21:44:42.906+00,2026-04-18 21:33:26.853+00,,,
89100c20-99b5-4279-b7d5-bbaf08047fd2,ad3242b4-1668-4da9-a58d-2da8eba2692d,Panda-02,PANDA-HONGKAIKEO-02,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-HK-02,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,2,2026-04-16 21:44:42.957+00,2026-04-18 21:33:26.902+00,,,
8de9023a-8af6-4c7a-b0fa-2d3b4e1c0841,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-04,PANDA-PHONSAY-04,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-04,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,4,2026-04-16 21:44:42.923+00,2026-04-18 21:33:26.87+00,,,
9593bcee-65f0-472e-a4bf-93c90e42dc8a,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-07,PANDA-MEKONG-07,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-07,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,7,2026-04-16 21:44:42.885+00,2026-04-18 21:33:26.833+00,,,
9ebfc1ff-392d-4352-bd5c-2fd9f001c912,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-09,PANDA-PHONSAY-09,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-09,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,9,2026-04-16 21:44:42.931+00,2026-04-18 21:33:26.878+00,,,
9f076519-2168-4bd4-9255-50da3c94cd88,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-07,PANDA-BUENGTHATLUANG-07,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-07,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,7,2026-04-16 21:44:42.949+00,2026-04-18 21:33:26.894+00,,,
9f4dba5d-e673-4db9-a8d2-e8cc87772563,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-06,PANDA-MEKONG-06,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-06,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,6,2026-04-16 21:44:42.883+00,2026-04-18 21:33:26.831+00,,,
9f96881f-eaec-4b95-a2a6-c68da0080e19,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-10,PANDA-MEKONG-10,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-10,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,10,2026-04-16 21:44:42.89+00,2026-04-18 21:33:26.837+00,,,
a2ac710b-4413-43f4-a4e1-5c573ecf1c87,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-05,PANDA-BUENGTHATLUANG-05,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-05,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,5,2026-04-16 21:44:42.945+00,2026-04-18 21:33:26.891+00,,,
a6533c3e-f68c-46ee-bd91-09de9ebb3550,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-05,PANDA-PHONSAY-05,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-05,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,5,2026-04-16 21:44:42.925+00,2026-04-18 21:33:26.872+00,,,
a75765a9-ba23-44d9-bef7-f4b1a615add4,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-01,PANDA-MEKONG-01,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-01,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,1,2026-04-16 21:44:42.871+00,2026-04-18 21:33:26.822+00,,,
aa979512-b21d-428a-9241-6550fca51798,ad3242b4-1668-4da9-a58d-2da8eba2692d,Panda-01,PANDA-HONGKAIKEO-01,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-HK-01,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,1,2026-04-16 21:44:42.955+00,2026-04-18 21:33:26.899+00,,,
abb48ddc-6fe6-4e21-a7b3-67b88317ffc1,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-10,PANDA-PHONSAY-10,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-10,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,10,2026-04-16 21:44:42.933+00,2026-04-18 21:33:26.879+00,,,
b5e0ac2b-9258-409b-ac9d-3e24da74880a,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-02,PANDA-BUENGTHATLUANG-02,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-02,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,2,2026-04-16 21:44:42.941+00,2026-04-18 21:33:26.887+00,,,
b680e209-753c-43af-a06f-e9c6daf884b0,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-08,PANDA-DONGNASOK-08,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-08,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,8,2026-04-16 21:44:42.909+00,2026-04-18 21:33:26.856+00,,,
b914c879-c21b-45c6-af31-e763d30f598e,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-01,PANDA-PHONSAY-01,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-01,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,1,2026-04-16 21:44:42.918+00,2026-04-18 21:33:26.866+00,,,
bb5b90ae-814c-4a41-8b1c-00d753e911cd,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-09,PANDA-DONGNASOK-09,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-09,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,9,2026-04-16 21:44:42.91+00,2026-04-18 21:33:26.858+00,,,
bcde0ec3-9e3f-4a1d-af27-ada006449747,4f90d837-1f9a-49f8-a112-629670d7c3f0,Panda-12,PANDA-PHONSAY-12,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-PS-12,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,12,2026-04-16 21:44:42.936+00,2026-04-18 21:33:26.882+00,,,
be241f0e-137a-494b-8110-2d32f98b945f,1489fd0a-7175-4781-91fd-c52721b0f8db,Panda-03,PANDA-MEKONG-03,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-MK-03,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,3,2026-04-16 21:44:42.878+00,2026-04-18 21:33:26.826+00,,,
c2fd90af-50bf-4a4d-9420-040c84e41b12,ad3242b4-1668-4da9-a58d-2da8eba2692d,Panda-03,PANDA-HONGKAIKEO-03,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-HK-03,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,3,2026-04-16 21:44:42.958+00,2026-04-18 21:33:26.904+00,,,
d0a46df9-06ba-4ef9-8d28-60db94897e9f,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-09,PANDA-BUENGTHATLUANG-09,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-09,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,9,2026-04-16 21:44:42.952+00,2026-04-18 21:33:26.897+00,,,
d9ff324c-18b3-46fc-9cdd-6b0e2a7c1154,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-11,PANDA-DONGNASOK-11,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-11,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,11,2026-04-16 21:44:42.913+00,2026-04-18 21:33:26.861+00,,,
dcbd7f06-b06d-48b7-8a29-851b4f77ecbe,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-01,PANDA-BUENGTHATLUANG-01,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-01,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,1,2026-04-16 21:44:42.939+00,2026-04-18 21:33:26.885+00,,,
e222c8d6-b935-423d-8716-07e9dc8268b2,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-02,PANDA-DONGNASOK-02,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-02,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,2,2026-04-16 21:44:42.9+00,2026-04-18 21:33:26.846+00,,,
e971ef62-e319-49e3-8073-fc311bbca27e,6df4f993-5911-49bf-9a5d-7205e860ee1e,Panda-12,PANDA-DONGNASOK-12,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-DN-12,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,12,2026-04-16 21:44:42.915+00,2026-04-18 21:33:26.863+00,,,
ec43cef4-5bdc-43c5-a7ee-8b7a0c866ee3,ad3242b4-1668-4da9-a58d-2da8eba2692d,Panda-05,PANDA-HONGKAIKEO-05,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-HK-05,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,5,2026-04-16 21:44:42.961+00,2026-04-18 21:33:26.908+00,,,
f1514071-2d43-4263-89b9-1f9bf2ce91af,e3b9752a-06ca-48d3-89c4-ce9f555345e9,Panda-08,PANDA-BUENGTHATLUANG-08,ONLINE,,,,SGIC Integrated DC Charger 120kW,SGIC-2026-BT-08,260-530Vac (3P+N+PE),50-1000Vdc,250,95,IP55,true,8,2026-04-16 21:44:42.95+00,2026-04-18 21:33:26.895+00,,,
